stock_code,stock_name,market,dividend_date,dividend_amount,buy_price,ex_price,price_change_pct,dividend_yield_pct,total_return_pct,is_profitable
002736,国信证券,深市,2025-06-16,3.5,10.65,11.28,5.92,32.86,38.78,True
002736,国信证券,深市,2024-06-19,2.7,8.32,8.48,1.92,32.45,34.38,True
002736,国信证券,深市,2023-06-21,2.7,8.48,8.13,-4.13,31.84,27.71,True
002841,视源股份,深市,2026-04-30,7.2,31.97,36.91,15.45,22.52,37.97,True
002841,视源股份,深市,2025-06-13,6.8,34.22,32.65,-4.59,19.87,15.28,True
002841,视源股份,深市,2024-05-29,8.5,31.3,31.2,-0.32,27.16,26.84,True
002841,视源股份,深市,2023-06-07,10.5,60.48,58.09,-3.95,17.36,13.41,True
300001,特锐德,深市,2025-07-04,1.5,22.32,23.55,5.51,6.72,12.23,True
300001,特锐德,深市,2024-06-14,1.0,20.28,21.61,6.56,4.93,11.49,True
300001,特锐德,深市,2023-07-20,0.5,21.31,19.36,-9.15,2.35,-6.8,False
300015,爱尔眼科,深市,2026-01-15,0.8,10.9,11.67,7.06,7.34,14.4,True
300015,爱尔眼科,深市,2025-06-11,1.6003,12.72,12.33,-3.07,12.58,9.51,True
300015,爱尔眼科,深市,2024-06-06,1.5002,12.8,11.46,-10.47,11.72,1.25,True
300015,爱尔眼科,深市,2023-06-08,1.0002,21.26,19.17,-9.83,4.7,-5.13,False
300033,同花顺,深市,2026-04-10,51.0,228.05,228.7,0.29,22.36,22.65,True
300033,同花顺,深市,2025-09-23,1.0,281.48,252.16,-10.42,0.36,-10.06,False
300033,同花顺,深市,2025-03-28,30.0,225.47,207.05,-8.17,13.31,5.14,True
300033,同花顺,深市,2024-03-29,22.0,90.55,91.04,0.54,24.3,24.84,True
300059,东方财富,深市,2026-04-21,1.0,20.11,19.94,-0.85,4.97,4.13,True
300059,东方财富,深市,2025-04-16,0.6,23.89,20.22,-15.36,2.51,-12.85,False
300059,东方财富,深市,2024-04-23,0.4,13.4,12.34,-7.91,2.99,-4.93,False
300122,智飞生物,深市,2024-12-25,2.0,29.05,28.04,-3.48,6.88,3.41,True
300122,智飞生物,深市,2024-08-08,8.0,25.13,25.95,3.26,31.83,35.1,True
300122,智飞生物,深市,2023-06-16,5.0,47.87,44.55,-6.94,10.44,3.51,True
300124,汇川技术,深市,2025-06-06,4.1,70.04,64.11,-8.47,5.85,-2.61,False
300124,汇川技术,深市,2024-05-30,4.5,58.67,57.8,-1.48,7.67,6.19,True
300124,汇川技术,深市,2023-06-12,3.6,55.15,57.94,5.06,6.53,11.59,True
300142,沃森生物,深市,2026-01-09,0.3,11.51,12.12,5.3,2.61,7.91,True
300142,沃森生物,深市,2025-05-28,0.1,9.95,10.04,0.9,1.01,1.91,True
300142,沃森生物,深市,2024-05-30,0.1,14.65,13.36,-8.81,0.68,-8.12,False
300274,阳光电源,深市,2026-05-12,6.9,130.79,139.85,6.93,5.28,12.2,True
300274,阳光电源,深市,2025-10-20,9.5,136.31,148.63,9.04,6.97,16.01,True
300274,阳光电源,深市,2025-06-13,10.8,64.55,62.01,-3.93,16.73,12.8,True
300274,阳光电源,深市,2024-06-13,9.65,71.16,67.25,-5.49,13.56,8.07,True
300274,阳光电源,深市,2023-06-07,2.2,74.54,70.79,-5.03,2.95,-2.08,False
300347,泰格医药,深市,2025-06-17,3.0,42.07,50.61,20.3,7.13,27.43,True
300347,泰格医药,深市,2024-07-12,5.68,56.6,48.32,-14.63,10.04,-4.59,False
300347,泰格医药,深市,2023-07-07,5.5,70.88,61.84,-12.75,7.76,-4.99,False
300408,三环集团,深市,2026-05-11,4.5,59.62,86.3,44.75,7.55,52.3,True
300408,三环集团,深市,2025-06-25,3.8,32.08,32.49,1.28,11.85,13.12,True
300408,三环集团,深市,2024-07-09,2.8,28.91,28.56,-1.21,9.69,8.47,True
300408,三环集团,深市,2023-07-17,2.5,29.12,31.33,7.59,8.59,16.17,True
300498,温氏股份,深市,2025-11-03,3.0,18.3,18.19,-0.6,16.39,15.79,True
300498,温氏股份,深市,2025-05-26,2.0,16.41,16.06,-2.13,12.19,10.05,True
300498,温氏股份,深市,2024-11-18,1.5,17.61,17.33,-1.59,8.52,6.93,True
300498,温氏股份,深市,2024-06-19,1.0,21.03,19.17,-8.84,4.76,-4.09,False
300498,温氏股份,深市,2023-06-12,2.0,17.82,16.18,-9.2,11.22,2.02,True
300750,宁德时代,深市,2026-04-22,21.78,395.79,436.35,10.25,5.5,15.75,True
300750,宁德时代,深市,2025-08-20,10.07,274.35,274.89,0.2,3.67,3.87,True
300750,宁德时代,深市,2025-04-22,45.53,246.22,226.31,-8.09,18.49,10.41,True
300750,宁德时代,深市,2025-01-24,12.3,256.5,250.66,-2.28,4.8,2.52,True
300750,宁德时代,深市,2024-04-30,20.11,177.67,193.93,9.15,11.32,20.47,True
300896,爱美客,深市,2026-04-29,8.0,117.93,116.17,-1.49,6.78,5.29,True
300896,爱美客,深市,2025-09-26,12.0,187.48,180.96,-3.48,6.4,2.92,True
300896,爱美客,深市,2025-04-30,38.0,173.22,170.68,-1.47,21.94,20.47,True
300896,爱美客,深市,2024-04-29,23.23,236.68,210.23,-11.18,9.81,-1.36,False
300896,爱美客,深市,2023-10-23,18.48,263.1,245.19,-6.81,7.02,0.22,True
300896,爱美客,深市,2023-05-15,28.0,377.7,349.04,-7.59,7.41,-0.17,False
